 110000 北京
 210111 110100 辽宁省-沈阳市-苏家屯区
 210112 110015 辽宁省-沈阳市-浑南新区
 210113 110000 辽宁省-沈阳市-沈北新区
 210114 110000 辽宁省-沈阳市-于洪区
 210122 110200 辽宁省-沈阳市-辽中县
 210123 110500 辽宁省-沈阳市-康平县
 210124 110400 辽宁省-沈阳市-法库县
 210181 110300 辽宁省-沈阳市-新民市
 210200 116000 辽宁省-大连市
 210202 116000 辽宁省-大连市-中山区
 210203 116000 辽宁省-大连市-西岗区
 210204 116000 辽宁省-大连市-沙河口区
 210211 116000 辽宁省-大连市-甘井子区
 210212 116000 辽宁省-大连市-旅顺口区
 210213 116000 辽宁省-大连市-金州区
 210224 116500 辽宁省-大连市-长海县
 210281 116300 辽宁省-大连市-瓦房店市
 210282 116200 辽宁省-大连市-普兰店市
 210283 116400 辽宁省-大连市-庄河市
 210284 116100 辽宁省-大连市-金普新区
 210300 114000 辽宁省-鞍山市
 210302 114000 辽宁省-鞍山市-铁东区
 210303 114000 辽宁省-鞍山市-铁西区
 210304 114000 辽宁省-鞍山市-立山区
 210311 114000 辽宁省-鞍山市-千山区
 210321 114100 辽宁省-鞍山市-台安县
 210323 114300 辽宁省-鞍山市-岫岩满族自治县
 210381 114200 辽宁省-鞍山市-海城市
 210400 113000 辽宁省-抚顺市
 210402 113000 辽宁省-抚顺市-新抚区
 210403 113000 辽宁省-抚顺市-东洲区
 210404 113000 辽宁省-抚顺市-望花区
 210411 113000 辽宁省-抚顺市-顺城区
 210421 113100 辽宁省-抚顺市-抚顺县
 210422 113200 辽宁省-抚顺市-新宾满族自治县
 210423 113300 辽宁省-抚顺市-清原满族自治县
 210500 117000 辽宁省-本溪市
 210502 117000 辽宁省-本溪市-平山区
 210503 117000 辽宁省-本溪市-溪湖区
 210504 117000 辽宁省-本溪市-明山区
 210505 117000 辽宁省-本溪市-南芬区
 210521 117100 辽宁省-本溪市-本溪满族自治县
 210522 117200 辽宁省-本溪市-桓仁满族自治县
 210600 118000 辽宁省-丹东市
 210602 118000 辽宁省-丹东市-元宝区
 210603 118000 辽宁省-丹东市-振兴区
 210604 118000 辽宁省-丹东市-振安区
