PdId,IncidntNum,Incident Code,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,location,SF Find Neighborhoods 2 2,Current Police Districts 2 2,Current Supervisor Districts 2 2,Analysis Neighborhoods 2 2,DELETE - Fire Prevention Districts 2 2,DELETE - Police Districts 2 2,DELETE - Supervisor Districts 2 2,DELETE - Zip Codes 2 2,DELETE - Neighborhoods 2 2,DELETE - 2017 Fix It Zones 2 2,Civic Center Harm Reduction Project Boundary 2 2,Fix It Zones as of 2017-11-06  2 2,DELETE - HSOC Zones 2 2,Fix It Zones as of 2018-02-07 2 2,"CBD, BID and GBD Boundaries as of 2017 2 2","Areas of Vulnerability, 2016 2 2",Central Market/Tenderloin Boundary 2 2,Central Market/Tenderloin Boundary Polygon - Updated 2 2,HSOC Zones as of 2018-06-05 2 2,OWED Public Spaces 2 2,Neighborhoods 2
11036957862050,110369578,62050,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Saturday,05/07/2011,10:20,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403404791479,37.775420706711,POINT (-122.40340479147902 37.775420706711),32,1,10,34,14,2,9,28853,34,,,,,,,2,,,,,32
12604856006244,126048560,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,04/12/2012,18:15,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,POINT (-122.40340479147902 37.775420706711),32,1,10,34,14,2,9,28853,34,,,,,,,2,,,,,32
4022356368020,040223563,68020,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Wednesday,02/25/2004,07:40,INGLESIDE,NONE,200 Block of WILDE AV,-122.401585604811,37.7161342600934,POINT (-122.401585604811 37.7161342600934),91,9,9,40,10,7,8,309,39,,,,,,,2,,,,,91
13621440006244,136214400,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,11/13/2013,16:30,CENTRAL,NONE,BUSH ST / LARKIN ST,-122.418658294829,37.7889098399421,POINT (-122.418658294829 37.7889098399421),50,6,3,21,13,9,10,28858,21,,,,,,,1,,,,,50
8026753719057,080267537,19057,ASSAULT,THREATS AGAINST LIFE,Thursday,03/13/2008,05:30,TENDERLOIN,"ARREST, BOOKED",400 Block of TURK ST,-122.416342977622,37.7824465135592,POINT (-122.41634297762198 37.7824465135592),20,5,10,36,7,10,9,28852,36,17,1,18,1,18,6,2,1,1,1,,20
11103186565015,111031865,65015,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,12/26/2011,20:40,RICHMOND,NONE,3400 Block of WASHINGTON ST,-122.449838202917,37.7895659049301,POINT (-122.44983820291698 37.7895659049301),10,8,6,31,13,6,1,54,31,,,,,,,1,,,,,10
4030250928160,040302509,28160,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,03/13/2004,19:30,TARAVAL,NONE,30TH AV / KIRKHAM ST,-122.488646852565,37.7593108998132,POINT (-122.48864685256498 37.7593108998132),39,10,7,35,1,8,3,56,35,,,,,,,1,,,,,39
9036030371000,090360303,71000,NON-CRIMINAL,LOST PROPERTY,Monday,04/06/2009,15:25,INGLESIDE,"ARREST, CITED",4300 Block of MISSION ST,-122.431600311794,37.728524805863,POINT (-122.43160031179401 37.728524805863),94,9,1,28,9,7,6,28861,25,,,,,4,,1,,,,,94
8040460406374,080404604,06374,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Wednesday,04/16/2008,01:00,RICHMOND,NONE,CLEMENT ST / 4TH AV,-122.462278686054,37.7830359536166,POINT (-122.462278686054 37.7830359536166),5,8,4,11,11,6,2,54,11,,,,,,,1,,,,,5
6077160516030,060771605,16030,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Friday,07/21/2006,13:31,SOUTHERN,"ARREST, BOOKED",1000 Block of MARKET ST,-122.411071423064,37.7817511307229,POINT (-122.411071423064 37.7817511307229),20,5,10,36,14,2,9,28852,36,17,1,18,1,18,6,2,1,1,1,35,20
5096463871000,050964638,71000,NON-CRIMINAL,LOST PROPERTY,Friday,08/26/2005,11:00,BAYVIEW,NONE,1000 Block of GILMAN AV,-122.389056277059,37.7188220274007,POINT (-122.38905627705901 37.7188220274007),88,2,9,1,10,3,8,58,1,,,,,,,2,,,,,88
9090782005013,090907820,05013,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Thursday,09/03/2009,08:30,NORTHERN,NONE,600 Block of FELL ST,-122.428571514045,37.775266521436,POINT (-122.428571514045 37.775266521436),22,4,11,9,7,9,11,28852,10,,,,,,,1,,,,,22
6608678506244,066086785,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,11/27/2006,16:30,CENTRAL,NONE,BEACH ST / JONES ST,-122.417265053145,37.807073051215,POINT (-122.417265053145 37.807073051215),99,6,3,23,5,1,10,308,23,,,,,,2,2,,,,,99
9025281330155,090252813,30155,LIQUOR LAWS,CONSUMING ALCOHOL IN PUBLIC VIEW,Tuesday,03/10/2009,10:00,SOUTHERN,"ARREST, BOOKED",900 Block of MISSION ST,-122.407160717737,37.7821161321441,POINT (-122.40716071773701 37.7821161321441),32,1,10,34,14,2,9,28853,34,,1,,,,,2,1,1,,,32
12093838907055,120938389,07055,RECOVERED VEHICLE,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Monday,11/19/2012,19:34,BAYVIEW,NONE,300 Block of PENINSULA AV,-122.399313057866,37.7111410548779,POINT (-122.399313057866 37.7111410548779),89,2,9,1,10,3,8,309,1,,,,,,,1,,,,,89
3108970807025,031089708,07025,VEHICLE THEFT,STOLEN TRUCK,Sunday,09/14/2003,02:00,CENTRAL,UNFOUNDED,FRONT ST / BROADWAY ST,-122.399875723574,37.7987292250324,POINT (-122.39987572357401 37.7987292250324),77,6,3,8,3,1,10,28860,6,,,,,,,1,,,,,77
9038915906362,090389159,06362,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Tuesday,04/14/2009,10:40,CENTRAL,"ARREST, CITED",100 Block of JACKSON ST,-122.398919477596,37.796953574467,POINT (-122.39891947759601 37.796953574467),77,6,3,8,3,1,10,28860,6,,,,,,,1,,,,,77
